<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: ARTOO_Source_Traceability.csv>
index,source,filename,line,section,subsection,source_requirement,contract_id,capability,phase,status,interaction_contract,limits_and_dependencies,acceptance_evidence
10,S1,artoo-product-requirements-doc.md,21,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Capture/Save Functionality: Save and export final designs once ideal placement is achieved,CAP-010,Capture/Save Functionality,F,Retained source requirement; detailed behavior/phase is proposed,"Save the editable document and independently capture current-view image/video with resolution, background and privacy options; show local/cloud status.",Screenshot/export and editable Save are distinct; quota/offline failures never erase the active document.,Capture excludes handles/tool overlays; reopen retains editable objects and placements after interrupted synchronization.
11,S1,artoo-product-requirements-doc.md,22,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Avatar-based Visualization: Place tattoos on digital body models,CAP-011,Avatar-based Visualization,F,Retained source requirement; detailed behavior/phase is proposed,"Open the same project on a generic or personal avatar, orbit/pan/zoom, choose body side and pose, place and edit artwork directly on its surface.",Keep camera navigation distinct from placement transforms; unavailable model/texture assets have retry/fallback.,Orbiting changes the view only; modifying design updates the avatar while source layers remain editable.
12,S1,artoo-product-requirements-doc.md,23,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Multi-angle Visualization: View designs from different perspectives,CAP-012,Multi-angle Visualization,F/X,Retained source requirement; detailed behavior/phase is proposed,Compare registered photos or synchronized avatar cameras showing one placement; annotate occluded/unmatched regions and save camera presets.,Independent unregistered photos cannot be represented as a verified common coordinate system.,A selected motif retains region/side across views; an unmatched photo is visibly excluded from confident fit comparisons.
13,S1,artoo-product-requirements-doc.md,24,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Skin Tone Adaptation: Design adjusts to match various skin colors,CAP-006,Ink Representation; Skin Tone Adaptation,F/R,Retained source requirement; detailed behavior/phase is proposed,Display tattoo colors over a diverse skin reference set using explicit blend/material parameters; keep selected ink palette separate from display adaptation.,Do not infer ethnicity or claim calibrated real-ink response from a screen preview.,Review color/contrast preservation across consented skin-tone and lighting fixtures; record per-group failure rates and uncertainty.
14,S1,artoo-product-requirements-doc.md,25,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),"Texture Simulation: Show tattoos on different skin textures (scarred, stretch marks)",CAP-013,Texture Simulation; Seasonal Appearance Changes,X/R,Retained source requirement; detailed behavior/phase is proposed,"Create reversible skin-display scenarios for texture, hair/scars/stretch marks and tanning/paleness; show original beside the scenario.","Scenarios illustrate appearance, not predict biological change; do not alter saved personal identity attributes automatically.",Reset restores the original image/skin material; scenario exports include changed parameters and illustrative label.
15,S1,artoo-product-requirements-doc.md,26,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Seasonal Appearance Changes: Visualization of summer tanning vs. winter paleness,CAP-013,Texture Simulation; Seasonal Appearance Changes,X/R,Retained source requirement; detailed behavior/phase is proposed,"Create reversible skin-display scenarios for texture, hair/scars/stretch marks and tanning/paleness; show original beside the scenario.","Scenarios illustrate appearance, not predict biological change; do not alter saved personal identity attributes automatically.",Reset restores the original image/skin material; scenario exports include changed parameters and illustrative label.
16,S1,artoo-product-requirements-doc.md,27,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Lighting Condition Simulation: See tattoos under different lighting conditions,CAP-003,Realistic Relighting; Lighting Condition Simulation; Dynamic Lighting Studio; Time-of-Day Simulation,X,Retained source requirement; detailed behavior/phase is proposed,"Choose original lighting or named light rigs; adjust direction, strength, warmth and contrast with original/preview comparison and saved settings.",Camera exposure and material assumptions remain visible; avoid modifying the source artwork palette silently.,"Switching light presets alters shading consistently while preserving design shape, selected ink values and repeatable scenario parameters."
17,S1,artoo-product-requirements-doc.md,28,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Dynamic Lighting Studio: Test designs under various lighting situations,CAP-003,Realistic Relighting; Lighting Condition Simulation; Dynamic Lighting Studio; Time-of-Day Simulation,X,Retained source requirement; detailed behavior/phase is proposed,"Choose original lighting or named light rigs; adjust direction, strength, warmth and contrast with original/preview comparison and saved settings.",Camera exposure and material assumptions remain visible; avoid modifying the source artwork palette silently.,"Switching light presets alters shading consistently while preserving design shape, selected ink values and repeatable scenario parameters."
18,S1,artoo-product-requirements-doc.md,29,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Size Comparison Tools: Visualize scale against common objects,CAP-014,Size Comparison Tools; Size Calibration,F,Retained source requirement; detailed behavior/phase is proposed,"Enter physical dimensions or calibrate against a known reference, compare sizes/common objects and print a scale ruler; keep mm/inch conversion visible.",Reference perspective and uncertainty must be recorded; no known scale means no precise physical claim.,Round-trip unit conversion and exact-size export preserve dimensions; missing calibration produces a visible unresolved field.
19,S1,artoo-product-requirements-doc.md,30,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Pain Meter Visualization: Heat-map overlay showing relative pain levels,CAP-015,Pain Meter Visualization,R,Retained source requirement; detailed behavior/phase is proposed,"Toggle an educational region heat map, inspect sources/variation and record personal notes or practitioner advice separately.",No personal pain score inferred as fact; release only with reviewed content and limits.,Legend explains variability; disabling the map removes it from exports and never changes placement or booking eligibility.
20,S1,artoo-product-requirements-doc.md,31,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Edge Handling: Natural falloff at skin edges to prevent floating appearance,CAP-016,Edge Handling,F,Retained source requirement; detailed behavior/phase is proposed,"Show skin and ink masks separately; adjust feathering, spill suppression and occlusion boundaries using a zoomed edge preview.",Avoid deleting fine linework or clipping foreground white ink to remove a background.,Hair/skin edge and fine-line fixtures retain intended foreground while suppressing outside-region ink; undo restores mask.
21,S1,artoo-product-requirements-doc.md,32,Core Features and Functionality,AR Visualization Technology (HIGHEST PRIORITY),Body Movement Simulation: View designs during muscle flex or skin stretch,CAP-017,Body Movement Simulation; Motion Visualization,X/R,Retained source requirement; detailed behavior/phase is proposed,"Select a pose/movement sequence, scrub or play, inspect stretch/compression and compare neutral pose with movement.",Rig simulation is illustrative unless fitted to validated personal motion; flag severe distortion.,Joint-flex sequence retains placement identity and shows distortion/seam warnings; source art remains unchanged.
22,S1,artoo-product-requirements-doc.md,36,Core Features and Functionality,AI Tattoo Generation (HIGH PRIORITY),Style-based Generation: Create unique tattoo designs based on user preferences,CAP-156,Style-based Generation; Text-to-Tattoo; Style Transfer; Custom Modifications,F/X,Retained source requirement; detailed behavior/phase is proposed,"Editable prompt/reference/placement brief, styles, palette and constraints produce preview alternatives; refine a selected region, compare and insert approved output as a new asset/version.",Disclose cost/provider and preserve original; do not flatten a whole project to change one object or call raster layers vectors.,Targeted change preserves unrelated objects/text; canceled/failed job does not consume duplicate credits and old revision remains restorable.
23,S1,artoo-product-requirements-doc.md,37,Core Features and Functionality,AI Tattoo Generation (HIGH PRIORITY),Text-to-Tattoo: Generate designs from textual descriptions,CAP-156,Style-based Generation; Text-to-Tattoo; Style Transfer; Custom Modifications,F/X,Retained source requirement; detailed behavior/phase is proposed,"Editable prompt/reference/placement brief, styles, palette and constraints produce preview alternatives; refine a selected region, compare and insert approved output as a new asset/version.",Disclose cost/provider and preserve original; do not flatten a whole project to change one object or call raster layers vectors.,Targeted change preserves unrelated objects/text; canceled/failed job does not consume duplicate credits and old revision remains restorable.
24,S1,artoo-product-requirements-doc.md,38,Core Features and Functionality,AI Tattoo Generation (HIGH PRIORITY),Style Transfer: Apply artistic styles to basic design concepts,CAP-156,Style-based Generation; Text-to-Tattoo; Style Transfer; Custom Modifications,F/X,Retained source requirement; detailed behavior/phase is proposed,"Editable prompt/reference/placement brief, styles, palette and constraints produce preview alternatives; refine a selected region, compare and insert approved output as a new asset/version.",Disclose cost/provider and preserve original; do not flatten a whole project to change one object or call raster layers vectors.,Targeted change preserves unrelated objects/text; canceled/failed job does not consume duplicate credits and old revision remains restorable.
25,S1,artoo-product-requirements-doc.md,39,Core Features and Functionality,AI Tattoo Generation (HIGH PRIORITY),Custom Modifications: Allow refinement of AI-generated designs,CAP-156,Style-based Generation; Text-to-Tattoo; Style Transfer; Custom Modifications,F/X,Retained source requirement; detailed behavior/phase is proposed,"Editable prompt/reference/placement brief, styles, palette and constraints produce preview alternatives; refine a selected region, compare and insert approved output as a new asset/version.",Disclose cost/provider and preserve original; do not flatten a whole project to change one object or call raster layers vectors.,Targeted change preserves unrelated objects/text; canceled/failed job does not consume duplicate credits and old revision remains restorable.
26,S1,artoo-product-requirements-doc.md,40,Core Features and Functionality,AI Tattoo Generation (HIGH PRIORITY),Artist-specific Training: Learn and replicate specific artist styles (with permission),CAP-157,Artist-specific Training,R,Retained source requirement; detailed behavior/phase is proposed,"Creator-approved dataset, permitted purpose/style scope, compensation, model version and revocation terms; preview outputs in a controlled evaluation.",Similarity matching and training are separate consent scopes; no scraping of artists' portfolios by default.,A revoked/expired training license blocks new training and distribution as specified; model/data provenance is inspectable.
27,S1,artoo-product-requirements-doc.md,44,Core Features and Functionality,Progressive Avatar System,Parametric Avatars: Adjustable body parameters (MVP),CAP-018,Parametric Avatars; Body Type Diversity,F,Retained source requirement; detailed behavior/phase is proposed,"Provide editable height/proportion/limb/circumference controls, region presets, neutral view and texture choices; allow custom rather than only stereotyped bodies.",Label the result as generalized; do not infer exact geometry from weight alone.,Extreme supported proportions retain valid mesh and placement; changing shape prompts whether physical size or relative coverage should be preserved.
28,S1,artoo-product-requirements-doc.md,45,Core Features and Functionality,Progressive Avatar System,Photogrammetric Models: 3D scans of real body parts (Native),CAP-019,Photogrammetric Models,R,Retained source requirement; detailed behavior/phase is proposed,"Guided region capture checks overlap, blur, lighting and coverage; reconstruct asynchronously, review defects and explicitly accept a retargeted version.",Scans can fail; preserve previous target. Separate measured surfaces from inferred holes and require consent for processing.,A known measured object/body-region fixture passes scale/seam tests; poor capture is rejected with actionable recapture guidance.
29,S1,artoo-product-requirements-doc.md,46,Core Features and Functionality,Progressive Avatar System,MetaHuman Integration: Ultra-realistic avatars for professional visualization (Advanced),CAP-020,MetaHuman Integration,R,Retained source requirement; detailed behavior/phase is proposed,Import or generate an eligible compatible target through an isolated adapter; map anatomy/UVs and preserve project placements on reviewed retargeting.,"Licensing, runtime size and accurate personal fit are separate gates; photorealism alone is insufficient.",Representative project opens on both base avatar and candidate model with measured placement differences and documented unsupported regions.
30,S1,artoo-product-requirements-doc.md,47,Core Features and Functionality,Progressive Avatar System,Universal Body Map: Standardized UV mapping for consistent tattoo placement,CAP-021,Universal Body Map,F,Retained source requirement; detailed behavior/phase is proposed,"Maintain versioned region/side UV maps linked to 3D targets, editable source textures, seam markers and placement anchors.",Retarget new topology explicitly; one UV convention is not universal compatibility.,Known landmarks map 2D→3D→2D within tolerance; seam-crossing artwork remains continuous on supported models.
31,S1,artoo-product-requirements-doc.md,48,Core Features and Functionality,Progressive Avatar System,"Body Type Diversity: Range of body shapes, sizes, and types for accurate visualization",CAP-018,Parametric Avatars; Body Type Diversity,F,Retained source requirement; detailed behavior/phase is proposed,"Provide editable height/proportion/limb/circumference controls, region presets, neutral view and texture choices; allow custom rather than only stereotyped bodies.",Label the result as generalized; do not infer exact geometry from weight alone.,Extreme supported proportions retain valid mesh and placement; changing shape prompts whether physical size or relative coverage should be preserved.
32,S1,artoo-product-requirements-doc.md,52,Core Features and Functionality,Advanced Visualization Features,Aging Simulation: Projects how tattoos will appear over time as ink fades,CAP-022,Aging Simulation,R,Retained source requirement; detailed behavior/phase is proposed,"Offer named illustrative aging scenarios with editable assumptions, preserved original, side-by-side views and saved artist notes.",No personal year-by-year forecast until longitudinal evidence exists; never infer a guaranteed outcome from age slider position.,Every shared scenario retains assumptions and label; artist can reject it without changing the source tattoo plan.
33,S1,artoo-product-requirements-doc.md,53,Core Features and Functionality,Advanced Visualization Features,Cover-up Visualization: Tools for transforming existing tattoos into new designs,CAP-023,Cover-up Visualization; Cover-up Potential Analysis,F/R,Retained source requirement; detailed behavior/phase is proposed,"Lock the existing-tattoo reference, layer proposals with coverage/contrast comparison and allow artist annotations, alternatives and original/retouched views.",Cover-up feasibility is a professional judgment; preview does not guarantee concealment or require removal.,Original evidence remains recoverable; exported plan distinguishes proposed new ink from existing tattoo and retouched-only scenarios.
34,S1,artoo-product-requirements-doc.md,54,Core Features and Functionality,Advanced Visualization Features,Ink Type Rendering: Different ink styles and color technologies,CAP-024,Ink Type Rendering; White Ink Simulator,X/R,Retained source requirement; detailed behavior/phase is proposed,"Select labeled conventional, white, UV-reactive or specialty-ink display modes, palette/intensity and light conditions; compare on chosen skin references.",Material behavior and safety are unverified unless supported by a validated library; UV mode is not ordinary-light appearance.,Ink/light mode combinations are retained in exports and cannot be mistaken for a measured physical prediction.
35,S1,artoo-product-requirements-doc.md,55,Core Features and Functionality,Advanced Visualization Features,Healing Process Preview: Show healing stages from fresh to settled,CAP-025,Healing Process Preview; Recovery Calculator,R,Retained source requirement; detailed behavior/phase is proposed,"Show reviewed educational healing stages and a planning range with stated inputs, sources and practitioner notes; keep booking separate.","No diagnosis, treatment recommendation or individualized healing assurance from images.",Incomplete/unsupported inputs yield no precise estimate; final display names assumptions and route to professional review.
36,S1,artoo-product-requirements-doc.md,56,Core Features and Functionality,Advanced Visualization Features,Realistic Blending Modes: Simulates how ink sits on skin with proper opacity,CAP-026,Realistic Blending Modes,F,Retained source requirement; detailed behavior/phase is proposed,"Provide Normal, Multiply, Screen, Overlay and tested advanced modes with opacity preview, explanation and reversible per-layer state.",Artistic blend names do not imply physical ink accuracy; preserve source colors.,Saved/reopened and exported reference patches match the chosen blend implementation; white/colored inks do not disappear unexpectedly.
37,S1,artoo-product-requirements-doc.md,57,Core Features and Functionality,Advanced Visualization Features,Color Customization Studio: Advanced color picker with skin tone harmonization,CAP-027,Color Customization Studio,F,Retained source requirement; detailed behavior/phase is proposed,"Separate fill, stroke and ink palette; provide picker, hex/RGB/alpha, eyedropper, gradients, saved/recent palettes and side-by-side skin preview.",Out-of-gamut or uncalibrated print/display differences remain visible; no automatic recoloring without preview.,"Typing a color, using a swatch and sampling converge on identical stored values and undo behavior."
38,S1,artoo-product-requirements-doc.md,58,Core Features and Functionality,Advanced Visualization Features,"Recovery Calculator: Estimate healing time based on tattoo size, location, and complexity",CAP-025,Healing Process Preview; Recovery Calculator,R,Retained source requirement; detailed behavior/phase is proposed,"Show reviewed educational healing stages and a planning range with stated inputs, sources and practitioner notes; keep booking separate.","No diagnosis, treatment recommendation or individualized healing assurance from images.",Incomplete/unsupported inputs yield no precise estimate; final display names assumptions and route to professional review.
39,S1,artoo-product-requirements-doc.md,59,Core Features and Functionality,Advanced Visualization Features,Design Evolution Timeline: Record iterations showing concept evolution,CAP-028,Design Evolution Timeline,F,Retained source requirement; detailed behavior/phase is proposed,"Name revisions, preview differences, branch alternatives, compare body scenarios and restore a copy; annotate why decisions changed.","Restoring does not rewrite prior approvals, payments or other users' work.",Restored document matches its selected revision and dependent approvals clearly refer to the older version.
40,S1,artoo-product-requirements-doc.md,63,Core Features and Functionality,User Interaction,Drag-and-Drop Placement: Intuitive positioning on body canvas,CAP-029,Drag-and-Drop Placement; Mouse Controls; Real-time Adjustment,F,Retained source requirement; detailed behavior/phase is proposed,Drag from asset tray or move selection; show resize/rotate/pivot handles plus numeric controls and immediate projection updates. Wheel zooms viewport; modifier behavior is displayed.,Distinguish viewport zoom from artwork scale; preserve aspect ratio by default and prevent accidental off-canvas loss.,Pointer and numeric placement produce the same result; one gesture creates one undo step.
41,S1,artoo-product-requirements-doc.md,64,Core Features and Functionality,User Interaction,"Multi-touch Gestures: Pinch-zoom, two-finger rotation, tap-to-place",CAP-030,Multi-touch Gestures,F,Retained source requirement; detailed behavior/phase is proposed,"Pinch zoom/scale, two-finger rotate, pan and tap-to-place with a clear active target; provide touch-size handles and cancel.",Do not capture page scroll outside stage or silently transform art during two-finger navigation.,Gesture changes can be reproduced by accessible controls; interrupted touches leave valid geometry.
42,S1,artoo-product-requirements-doc.md,65,Core Features and Functionality,User Interaction,"Keyboard Shortcuts: Arrow keys for fine adjustment, modifier keys for transformations",CAP-031,Keyboard Shortcuts,F,Retained source requirement; detailed behavior/phase is proposed,"Provide searchable/remappable action shortcuts, arrow nudges, shift increments, undo/redo, selection and command search.",Text-entry fields keep normal typing shortcuts; shortcuts must not trap focus.,"Keyboard-only user selects, transforms, orders layers, saves and exports without pointer dependence."
43,S1,artoo-product-requirements-doc.md,66,Core Features and Functionality,User Interaction,"Mouse Controls: Wheel scaling, shift-drag rotation, direct manipulation",CAP-029,Drag-and-Drop Placement; Mouse Controls; Real-time Adjustment,F,Retained source requirement; detailed behavior/phase is proposed,Drag from asset tray or move selection; show resize/rotate/pivot handles plus numeric controls and immediate projection updates. Wheel zooms viewport; modifier behavior is displayed.,Distinguish viewport zoom from artwork scale; preserve aspect ratio by default and prevent accidental off-canvas loss.,Pointer and numeric placement produce the same result; one gesture creates one undo step.
44,S1,artoo-product-requirements-doc.md,67,Core Features and Functionality,User Interaction,Motion Controls: Device positioning for 3D perspective,CAP-032,Motion Controls,X,Retained source requirement; detailed behavior/phase is proposed,"Offer device-orientation camera orbit or sensor-supported perspective only after permission; include recenter, sensitivity and off switch.",Sensor motion is not proof of body tracking and may be unavailable.,Permission denial preserves ordinary touch controls; orientation drift can be reset without moving artwork.
45,S1,artoo-product-requirements-doc.md,68,Core Features and Functionality,User Interaction,Voice Commands: Hands-free adjustments (Native),CAP-033,Voice Commands; Voice-to-Adjustment,X,Retained source requirement; detailed behavior/phase is proposed,"Activate push-to-talk, show transcript and recognized action/target; adjust numeric or named properties with undo and optional confirmations.","Never leave mic on implicitly; ambiguous, destructive or financial instructions require explicit review.",Misheard target is corrected before application; canceled command changes nothing and no recording persists without permission.
46,S1,artoo-product-requirements-doc.md,69,Core Features and Functionality,User Interaction,Voice-to-Design: Describe tattoo ideas verbally for AI-generated concepts,CAP-034,Voice-to-Design,X,Retained source requirement; detailed behavior/phase is proposed,"Dictate into the editable design brief, choose style/placement constraints, review recognized text, generate alternatives and insert one as a new asset.","Voice input does not bypass rights, cost disclosure or generation consent.",Dictation errors can be corrected before charging; selected result retains prompt and source provenance.
47,S1,artoo-product-requirements-doc.md,70,Core Features and Functionality,User Interaction,AR Anchoring: Lock designs to body position during movement,CAP-004,Live AR Visualization; AR Anchoring,X,Retained source requirement; detailed behavior/phase is proposed,"Select camera/body region, acquire tracking, attach placement, show confidence, lock/unlock, pause for editing and capture; retain full shared tool access.","Denial, unsupported camera, occlusion and track loss produce recoverable states; remote processing requires consent.",Camera denial recovers to photo/avatar; controlled motion and occlusion meet the supported-device tracking gate without floating artwork.
48,S1,artoo-product-requirements-doc.md,71,Core Features and Functionality,User Interaction,"Real-time Adjustment: Dynamic size, position, opacity controls",CAP-029,Drag-and-Drop Placement; Mouse Controls; Real-time Adjustment,F,Retained source requirement; detailed behavior/phase is proposed,Drag from asset tray or move selection; show resize/rotate/pivot handles plus numeric controls and immediate projection updates. Wheel zooms viewport; modifier behavior is displayed.,Distinguish viewport zoom from artwork scale; preserve aspect ratio by default and prevent accidental off-canvas loss.,Pointer and numeric placement produce the same result; one gesture creates one undo step.
49,S1,artoo-product-requirements-doc.md,75,Core Features and Functionality,User Management,Multiple Profiles: Up to 3 profiles per account (different user types),CAP-035,Multiple Profiles,F,Retained source requirement; detailed behavior/phase is proposed,"One account switches among up to one client, one artist and one studio profile; show active context on uploads, messages, orders and settings.",Authentication identity differs from organization membership and paid plan; prevent creation of a fourth role profile.,Switching role never grants private-project access or changes an order's recorded legal/economic party.
50,S1,artoo-product-requirements-doc.md,76,Core Features and Functionality,User Management,Public/Private Sharing: Control over design visibility,CAP-036,Public/Private Sharing; Granular Permission System,F,Retained source requirement; detailed behavior/phase is proposed,"Set private, named participants, restricted link or public per project/asset; choose view/comment/edit/download and revoke access.",Default body media private; permission inheritance and derived export rights explicit.,"A viewer cannot edit/export without permission, expired links fail, and public portfolio does not reveal private capture metadata."
51,S1,artoo-product-requirements-doc.md,77,Core Features and Functionality,User Management,Backup & Restore: Design library preservation (Native only),CAP-037,Backup & Restore,F,Retained source requirement; detailed behavior/phase is proposed,"Local recoverable drafts, optional synchronized backups, version restore and portable export; show timestamp, scope and storage state.",Moving this from Native-only to cross-platform is a recommendation; restoration of encrypted messages requires a separate key plan.,Recover a known revision after crash/deletion; partial restore reports missing assets instead of claiming success.
52,S1,artoo-product-requirements-doc.md,78,Core Features and Functionality,User Management,Design Organization: Categorization and collection management,CAP-038,Design Organization,F,Retained source requirement; detailed behavior/phase is proposed,"Folders, collections, tags, search, favorites, recent files, archive and trash with restore; support multi-select move and stable references.",Moving an asset does not break projects that reference it or transfer ownership.,Rename/move/archive keeps linked placements intact and search permissions correct.
53,S1,artoo-product-requirements-doc.md,79,Core Features and Functionality,User Management,"Import from Other Platforms: Support for designs from Procreate, Adobe Fresco, etc.",CAP-039,Import from Other Platforms,F/X,Retained source requirement; detailed behavior/phase is proposed,"Accept documented PNG/JPEG/WebP/SVG/PDF exports from Procreate, Fresco and other tools; preview supported layers/fonts/effects and conversion loss.",Native proprietary formats require an explicit tested importer; do not claim fidelity for unsupported project files.,"A mixed import reports unsupported features, preserves originals and yields editable supported content with correct alpha."
54,S1,artoo-product-requirements-doc.md,80,Core Features and Functionality,User Management,Granular Permission System: Control visibility of designs and profile elements,CAP-036,Public/Private Sharing; Granular Permission System,F,Retained source requirement; detailed behavior/phase is proposed,"Set private, named participants, restricted link or public per project/asset; choose view/comment/edit/download and revoke access.",Default body media private; permission inheritance and derived export rights explicit.,"A viewer cannot edit/export without permission, expired links fail, and public portfolio does not reveal private capture metadata."
55,S1,artoo-product-requirements-doc.md,81,Core Features and Functionality,User Management,Tattoo Story Feature: Documentation of meaning and story behind tattoos,CAP-040,Tattoo Story Feature; Memory Vault,C,Retained source requirement; detailed behavior/phase is proposed,"Attach optional meaning, milestones, photos and private journal entries to a tattoo/project with per-entry audience and export choices.",Stories never become public from portfolio sharing or training consent by implication.,Export/share includes only selected entries; revoked recipient cannot retrieve later private notes.
56,S1,artoo-product-requirements-doc.md,82,Core Features and Functionality,User Management,Style Match Quiz: Interactive questionnaire for tattoo style discovery,CAP-041,Style Match Quiz,C,Retained source requirement; detailed behavior/phase is proposed,"Offer visual comparisons, skip/unsure/multiple choices and a revisable preference profile; show why recommendations match.",Aesthetic preference is not psychological diagnosis or permanent identity.,Changing or deleting answers changes recommendations and removes associated personalization state as specified.
